ALDH1A1	ALDH1A1	NA
AR	KDM1A	0.9856159017
AMY1A	MUC7	0.4679082575
AMY1A	AKAP1	0.6668692685
AMY1A	AKAP8	0.3144239655
AR	CDK6	0.9973553515
CHRNB4	CHRNA5	0.8694793598
TSC2	CDKN1B	1
TSC2	SMAD2	0.1056850073
TSC2	SMAD3	0.1056850073
ATRX	RAD51	0.9290241268
CDC42	ARHGEF6	0.0009686846
CTSB	IGF1	1
CDC42	ARHGEF7	0.0001408291
ATXN1	SAR1A	0.8695121951
CTAG1B	HLA-DRB5	0.756019832
CTAG1B	HLA-DRB1	0.4969861921
CTAG1B	HLA-DRB3	0.756019832
CTAG1B	HLA-DRB4	0.8694793598
SUMO2	CENPC1	0.9672875826
PTAFR	TYK2	0.3635927694
CHRNA3	CHRNB4	0.9829388877
IGF2	IGFBP3	0.9999999999
ANK2	DNAJB1	0.7331388531
ANK2	SPTBN1	0.4597382727
IGF2	PLG	0.9999999999
E2F4	NOLC1	0.6901968115
CLCN1	CLCN1	NA
UROD	UROD	NA
GPC3	WNT3A	0.7821709393
ATXN1	KLHL8	0.997779379
GPC3	WNT7B	0.7431163299
ARR3	OPN4	0.6800173457
ARR3	OPN1MW	0.4625164727
ARR3	FSHR	0.3225844806
HTR1F	CAV1	0.7765311653
KCNA2	CNTNAP2	0.9992959582
CETP	CETP	NA
KCNA2	KCNA2	NA
ACTA1	ACTA1	NA
GNAI2	CHRM1	0.9022305591
POU3F4	POU3F4	NA
POU3F4	POU3F3	0.9862291479
POU3F4	POU3F2	0.9841609568
POU3F4	POU3F1	0.7506195146
TTR	TTR	NA
GUCY2F	GUCY2F	NA
CHRM2	CHRM2	NA
U2AF2	PUF60	0.5693664531
KCNJ2	DLG2	0.9999999992
ATXN1	KLHL12	0.9999999988
KCNJ2	FLNA	0.9999999992
NUP98	SEC13	0.1453819715
SPRR1A	ACTA1	0.7765311653
PRKACA	PTBP1	1
GUCA1A	GUCY2D	0.9238187759
DRP2	UTRN	0.9975074144
PIK3R1	CHRNA7	0.4682378421
TIMP1	MMP2	0.9989256652
CD44	PKN1	0.0029702785
VAMP7	DNAJC5	0.3138508194
SCGB1A1	LMBR1L	0.7140699967
CDY1	HIST4H4	0.8977005424
CDY1	HIST2H2AC	0.8683436721
ADCY6	CHRNA7	0.6013470612
FOXG1	SMAD3	0.9999999968
CD47	FAS	0.9229389492
FOXG1	SMAD4	0.9999999968
FOXG1	SMAD2	0.9999999968
CD38	CD9	0.9994432301
GABRA3	UBQLN1	0.8695121951
AMBP	AMBP	NA
ITGB5	MYO10	0.5978374192
ATXN1	ATXN1	NA
VAMP7	STX4	0.9974740488
PTPN4	PRSS1	0.3117310456
APOA4	APOA4	NA
CHRDL1	BMP4	0.8785365854
FGF13	SCN8A	0.6579128387
ADCY7	PRKCD	0.7765311653
SRC	VIL1	0.9747324531
PTPN6	TFG	0.257839961
PKN1	CDC25C	0.3531952626
VCAN	VCAN	NA
FGF13	FGF13	NA
ISG15	UBA7	0.9026261317
CSF2RA	RPSA	0.0455386497
PTPN6	ACTN1	1
CSF2RA	IKBKB	0.7190201683
CYBB	IQGAP1	0.7682202261
CYBB	ACTG1	0.3757445122
USP9X	DCX	0.3114251012
FBN1	VCAN	0.9999775114
S100A1	S100A1	NA
GPC1	APP	0.1455487212
F8	MCFD2	0.9852491022
F8	ASGR2	0.6780699286
FGF3	RPS2	0.3635475523
CAV2	DRD1	0.9982576187
DUSP1	HSPA4	0.9890617638
ITGB1	VCAN	0.9569103215
EPHA8	EFNA1	0.9994398235
ASGR2	ASGR2	NA
L1CAM	RANBP9	0.0971467519
IFI6	CIB1	0.8588635103
DGKD	DGKD	NA
MSLN	MUC16	0.7377561553
ACADVL	ACADVL	NA
FBLN1	VCAN	0.9999763434
OCRL	CLTC	0.4527258275
PRKCA	DGKD	0.9897649452
OCRL	CDC42	0.3316523611
OCRL	RAC1	0.9491174449
MAPK1	DUSP2	0.8977099342
FBLN2	VCAN	0.9999775181
S100A5	S100A5	NA
ADSS	ACTA1	0.7765311653
CXCL10	VCAN	0.9563775426
AIF1	LCP1	0.9274275232
SSTR1	PRMT5	0.7283578451
EFNA5	EPHB2	0.9999937972
S100A2	TP53	0.9998421734
S100A2	S100A2	NA
EFNA5	EPHA7	0.9897588058
CCL2	VCAN	0.9568637484
TNFAIP6	THBS1	0.9852495309
SSTR2	GNA14	0.9754904735
MAOA	MAOA	NA
PLA2G2A	VCAN	0.9730247013
NDP	NDP	NA
CCR6	DEFB1	0.9791877385
PEX5	SCARB1	0.9999981409
LIG4	SMC2	0.9296366543
SELP	VCAN	0.9978023549
ATP5C1	ATP5A1	0.9482638676
ATP5C1	ATP5B	0.3267051327
BRD2	HIST4H4	0.9895288021
BRD2	HIST3H2BB	0.8883191294
WNK4	CLDN1	0.940687686
WNK4	CLDN2	0.8300940113
ELAVL4	GAP43	0.7600426821
WNK4	CLDN3	0.7682000468
WNK4	CLDN4	0.9160411749
CCL5	VCAN	0.9569103213
ACLY	PRKACA	0.9986345706
ACLY	GSK3B	0.9986345706
ODF1	ODF1	NA
SHH	HHIP	0.9640520074
PLEC1	GNB2L1	0.9534181719
BCHE	BCHE	NA
ITGA4	VCAN	0.488791955
SYK	IL15RA	0.9747324531
ATP2B1	CALM1	0.3146455849
PLEC1	ITGA6	0.9534181718
ATP2B4	PPP3CA	0.0211776802
ATP2B4	RASSF1	0.6778940042
PAFAH1B1	MAP1B	0.2462219098
RS1	RS1	NA
XCL1	VCAN	0.9852273806
MAPK14	NCOA3	1
HTR2C	HTR2C	NA
ARHGEF1	CNKSR1	0.5957028004
ARHGEF1	ARHGEF1	NA
CCL20	VCAN	0.7718062878
PHACTR1	PPP1CA	0.4626152691
ATP2A2	ATP2A2	NA
CUGBP1	DMPK	0.5712312135
PAFAH1B1	TUBA1A	0.0964121542
PAFAH1B1	MAP2	0.0030804199
TNR	VCAN	0.9973177409
PRKCQ	IRS1	0.9999870467
PRKCG	IRS1	0.4995977197
RFXAP	SMARCA4	0.9672875826
RFX5	HDAC2	0.9005328667
NINJ1	NINJ1	NA
TGFBR3	ARRB2	0.0097946206
PLOD2	PLOD2	NA
CCL8	VCAN	0.9568675048
MUSK	RAPSN	0.9969521909
SATB1	SATB1	NA
SEMA4D	SEMA4D	NA
AP4M1	LAMP2	0.4681541291
TGFBR3	ENG	0.9999999991
DNASE1	ACTA1	0.3635927694
CCL21	VCAN	0.7111654768
ASAH1	SMPD1	0.4474820053
SOD3	FBLN5	0.9557214829
ALDOB	ALDOB	NA
EPCAM	EPCAM	NA
ADAMTS1	VCAN	0.9851712211
ALDH3A1	ALDH3A1	NA
ACTN2	ACTN2	NA
PSEN1	PSEN1	NA
SAA2	SAA2	NA
APOC1	APOC1	NA
APEX1	APEX1	NA
AQP1	AQP1	NA
ST6GAL1	ST6GAL1	NA
CD79A	CD79A	NA
RABGGTB	CHML	0.8043285807
C5AR1	C5AR1	NA
CSNK2A1	CSNK2A1	NA
CDKN1A	CDKN1A	NA
CGA	CGA	NA
COL10A1	COL10A1	NA
COL12A1	COL12A1	NA
COL13A1	COL13A1	NA
MMP9	MMP9	NA
MSX2	MSX2	NA
RAB3A	CHML	0.2823216297
CKMT2	CKMT2	NA
CRYAA	CRYAA	NA
CRYAB	CRYAB	NA
CRYBA1	CRYBA1	NA
CRYBB2	CRYBB2	NA
CRYGC	CRYGC	NA
EZR	EZR	NA
IL10	IL10	NA
CD55	CD55	NA
NQO1	NQO1	NA
RAB1A	CHML	0.7975664614
EEF1D	EEF1D	NA
FGF1	FGF1	NA
NID1	NID1	NA
NR2F6	NR2F6	NA
STOM	STOM	NA
RUNX1T1	RUNX1T1	NA
EXT1	EXT1	NA
EXT2	EXT2	NA
RAB5A	CHML	0.8097049725
GSTP1	GSTP1	NA
FTH1	FTH1	NA
FGA	FGA	NA
FBLN1	FBLN1	NA
FSHB	FSHB	NA
GSR	GSR	NA
CEBPG	CEBPG	NA
GNAI3	GNAI3	NA
HSF1	HSF1	NA
RAB6A	CHML	0.8097184033
HMOX1	HMOX1	NA
HBB	HBB	NA
H2AFZ	H2AFZ	NA
HOXA10	HOXA10	NA
FCER1A	FCER1A	NA
INHBA	INHBA	NA
MX2	MX2	NA
LDHB	LDHB	NA
BCR	BCR	NA
CGB	CGA	0.9533649289
MDH2	MDH2	NA
MDH1	MDH1	NA
MBL2	MBL2	NA
MAP2	MAP2	NA
MLL	MLL	NA
MYOG	MYOG	NA
MYF5	MYF5	NA
NEFL	NEFL	NA
NPY2R	NPY2R	NA
FSHB	CGA	0.9977748408
POU2F2	POU2F2	NA
REL	REL	NA
NOTCH4	NOTCH4	NA
JUNB	JUNB	NA
SKIL	SKIL	NA
PEPD	PEPD	NA
PLA2G2A	PLA2G2A	NA
PKD2	PKD2	NA
F2	F2	NA
TYK2	TYK2	NA
LHB	CGA	0.5715972574
RAB3A	RAB3A	NA
RCC1	RCC1	NA
DPEP1	DPEP1	NA
RPA1	RPA1	NA
RPA3	RPA3	NA
RRM1	RRM1	NA
RYR1	RYR1	NA
HTR1B	HTR1B	NA
UTRN	ACTA1	0.9999998409
LHCGR	CGA	0.2469876872
HTR1D	HTR1D	NA
CCL4	CCL4	NA
SRI	SRI	NA
CD8B	CD8B	NA
PSMC3	PSMC3	NA
THBS3	THBS3	NA
TBXA2R	TBXA2R	NA
THY1	THY1	NA
TG	TG	NA
ATXN1	ATXN2	0.999977238
TFCP2	TFCP2	NA
GTF2F2	GTF2F2	NA
ERBB3	ERBB3	NA
TGFBR2	TGFBR2	NA
TGFB2	TGFB2	NA
TPM3	TPM3	NA
TSHB	CGA	0.7560449438
TNFAIP1	TNFAIP1	NA
DCT	DCT	NA
CDH1	CDH1	NA
ITGA4	ITGA4	NA
AGA	AGA	NA
DBH	DBH	NA
F7	F7	NA
F10	F10	NA
FBP1	FBP1	NA
FSHB	CGB	0.9512521933
NCF1	NCF1	NA
GLDC	GLDC	NA
LTC4S	LTC4S	NA
MUT	MUT	NA
FIGF	FIGF	NA
GLUD2	GLUD2	NA
TRPC5	TRPC5	NA
SLC9A7	SLC9A7	NA
TREX2	TREX2	NA
LHCGR	CGB	0.9020236055
SH3KBP1	SH3KBP1	NA
WAS	WAS	NA
MSN	MSN	NA
ARAF	ARAF	NA
SAT1	SAT1	NA
TAF1	TAF1	NA
TFE3	TFE3	NA
TNS1	TNS1	NA
SERPINF2	CTRB1	0.9997825942
PDE4A	PDE4A	NA
PDE4D	PDE4D	NA
LCN2	LCN2	NA
SS18	SS18	NA
CENPF	CENPF	NA
XCL1	XCL1	NA
COIL	COIL	NA
CDX2	CDX2	NA
SMN1	SMN1	NA
CSTF1	CSTF1	NA
SERPINA1	CTRB1	0.9997825942
ID2	ID2	NA
MEP1A	MEP1A	NA
MEP1B	MEP1B	NA
USF2	USF2	NA
FAP	FAP	NA
SSBP1	SSBP1	NA
SREBF2	SREBF2	NA
SUB1	SUB1	NA
RECQL	RECQL	NA
CMA1	MMP1	0.7473974864
CCBL1	CCBL1	NA
CLCN3	CLCN3	NA
LGALS3BP	LGALS3BP	NA
MEF2A	MEF2A	NA
MEF2D	MEF2D	NA
SHH	SHH	NA
SELPLG	SELPLG	NA
SYT5	SYT5	NA
PVRL2	PVRL2	NA
CMA1	EDN3	0.9981151344
FXR1	FXR1	NA
RORA	RORA	NA
KCNJ6	KCNJ6	NA
FGF9	FGF9	NA
PPOX	PPOX	NA
GFER	GFER	NA
HAP1	HAP1	NA
LTB	LTB	NA
CMA1	PFN1	0.0454718054
CUGBP1	CUGBP1	NA
SLA	SLA	NA
CAPRIN1	CAPRIN1	NA
CASR	CASR	NA
SIX1	SIX1	NA
PCBP2	PCBP2	NA
BIN1	BIN1	NA
FCN1	FCN1	NA
EPB41	ACTA1	0.9999999836
CMA1	KITLG	0.1321823834
SNX1	SNX1	NA
SEMA3B	SEMA3B	NA
LIMK1	LIMK1	NA
RFX3	RFX3	NA
CDH13	CDH13	NA
VEGFB	VEGFB	NA
MYBL2	MYBL2	NA
CHI3L1	CHI3L1	NA
CMA1	EDN1	0.3267051013
VEGFC	VEGFC	NA
PITX2	PITX2	NA
PAFAH1B1	PAFAH1B1	NA
OAZ1	OAZ1	NA
SMARCB1	SMARCB1	NA
TBX3	TBX3	NA
NSF	NSF	NA
ALCAM	ALCAM	NA
CMA1	EDN2	0.9947909115
VASP	VASP	NA
STAU1	STAU1	NA
KCNK1	KCNK1	NA
VDR	VDR	NA
MSTN	MSTN	NA
NME3	NME3	NA
ATXN1	METT11D1	0.7560483826
B4GALNT1	B4GALNT1	NA
BID	BID	NA
PHYH	PHYH	NA
NRP1	NRP1	NA
DAP3	DAP3	NA
TRPV1	TRPV1	NA
CLDN5	CLDN5	NA
MATN3	MATN3	NA
IL6R	CNTF	0.9842799524
NDN	NDN	NA
RGS3	RGS3	NA
ERP29	ERP29	NA
RANGAP1	RANGAP1	NA
NPTX1	NPTX1	NA
SULT1C2	SULT1C2	NA
GCHFR	GCHFR	NA
GOLGA3	GOLGA3	NA
LIFR	CNTF	0.9897521043
CDSN	CDSN	NA
CTBP2	CTBP2	NA
PDE2A	PDE2A	NA
CASP4	CASP4	NA
PLIN3	PLIN3	NA
TNFRSF14	TNFRSF14	NA
NR6A1	NR6A1	NA
PRMT1	PRMT1	NA
IL6ST	CNTF	0.9897649452
TSC22D3	TSC22D3	NA
BCAS1	BCAS1	NA
GP2	GP2	NA
CDH6	CDH6	NA
SPAG4	SPAG4	NA
MNT	MNT	NA
SUMO2	SUMO2	NA
PLOD3	PLOD3	NA
HNRNPL	HNRNPL	NA
CNTF	CNTFR	0.8424152164
SLC31A1	SLC31A1	NA
TCF20	TCF20	NA
S100A11	S100A11	NA
CUL1	CUL1	NA
IL17A	IL17A	NA
DAXX	DAXX	NA
MVD	MVD	NA
BNIP3	BNIP3	NA
CDK6	CDK6	NA
CDK5R1	CDK5R1	NA
RPS19	RPS19	NA
AP1G1	AP1G1	NA
TRPM1	TRPM1	NA
PCDH8	PCDH8	NA
LIFR	CNTFR	0.4365675821
SLC24A1	SLC24A1	NA
TRPC6	TRPC6	NA
RPS27	RPS27	NA
CER1	CER1	NA
AXIN1	AXIN1	NA
HIC1	HIC1	NA
ZNF174	ZNF174	NA
CCIN	CCIN	NA
EGFR	ACTA1	1
IL6ST	CNTFR	0.4365732461
ERN1	ERN1	NA
NEK2	NEK2	NA
UTS2	UTS2	NA
SLC25A11	SLC25A11	NA
SIGLEC5	SIGLEC5	NA
CPNE1	CPNE1	NA
TRIP13	TRIP13	NA
CRLF1	CNTFR	0.9988621143
KIF2C	KIF2C	NA
HSBP1	HSBP1	NA
CADPS	CADPS	NA
STK16	STK16	NA
SH2D3A	SH2D3A	NA
HPSE	HPSE	NA
STK17A	STK17A	NA
STK17B	STK17B	NA
TFEC	TFEC	NA
PRDX3	PRDX3	NA
CLCF1	CNTFR	0.9988621143
COX17	COX17	NA
LRAT	LRAT	NA
PCSK7	PCSK7	NA
MAFF	MAFF	NA
DGAT1	DGAT1	NA
SHANK1	SHANK1	NA
TARBP2	TARBP2	NA
MKNK2	MKNK2	NA
CRYAA	CS	0.7283594463
GABARAP	GABARAP	NA
FHL5	FHL5	NA
OPTC	OPTC	NA
TLE4	TLE4	NA
GDF15	GDF15	NA
APPBP2	APPBP2	NA
TAX1BP1	TAX1BP1	NA
CFHR4	CFHR4	NA
CRYAB	CS	0.3613445245
FXR2	FXR2	NA
RETN	RETN	NA
UBE2C	UBE2C	NA
CADM1	CADM1	NA
NUP62	NUP62	NA
STRAP	STRAP	NA
-	-	NA
IKZF3	IKZF3	NA
PSMD2	PSMD2	NA
IKZF2	IKZF2	NA
MDH2	CS	0.91474769
IKZF5	IKZF5	NA
IKZF4	IKZF4	NA
PRDX4	PRDX4	NA
PACSIN1	PACSIN1	NA
DEFB103A	DEFB103A	NA
GNMT	GNMT	NA
TKT	TKT	NA
SPIB	SPIB	NA
GORASP1	GORASP1	NA
DYNLL1	CS	0.9147521935
FHOD1	FHOD1	NA
BCL2L10	BCL2L10	NA
SCAMP1	SCAMP1	NA
RASSF5	RASSF5	NA
KIRREL	KIRREL	NA
FGFBP1	FGFBP1	NA
BEGAIN	BEGAIN	NA
ATXN1	CCDC136	0.9919863368
G3BP1	G3BP1	NA
GIT1	GIT1	NA
ODZ1	ODZ1	NA
PSTPIP2	PSTPIP2	NA
TMLHE	TMLHE	NA
SLC12A2	SLC12A2	NA
PEBP1	PEBP1	NA
CLTC	CLTC	NA
CDT1	CDT1	NA
MED8	MED8	NA
LYPLA1	LYPLA1	NA
AKR1C1	AKR1C1	NA
PVRL1	PVRL1	NA
RFWD2	RFWD2	NA
B3GAT3	B3GAT3	NA
CLTA	CLTC	0.9503258829
ENPEP	ENPEP	NA
CD81	CD81	NA
UBA52	UBA52	NA
CNGA2	CNGA2	NA
ADCY5	ADCY5	NA
KCNB1	KCNB1	NA
KCNJ5	KCNJ5	NA
DAZL	DAZL	NA
GSN	ACTA1	0.9974766332
XRCC6	CLTC	0.0043302366
HCN1	HCN1	NA
FHL3	FHL3	NA
CPN1	CPN1	NA
ICOS	ICOS	NA
SOX13	SOX13	NA
PPP2R3A	PPP2R3A	NA
ATXN1	WNK2	0.8695121951
ITGB3BP	ITGB3BP	NA
VAPA	VAPA	NA
VAPB	VAPB	NA
ARHGEF11	ARHGEF11	NA
FGL1	FGL1	NA
KCNN2	KCNN2	NA
SNX2	SNX2	NA
POP7	POP7	NA
ATXN1	SMARCC2	0.9999970573
NPHP1	NPHP1	NA
PUM2	PUM2	NA
SEMA4A	SEMA4A	NA
PRKRIR	PRKRIR	NA
ARSA	ARSA	NA
DCTD	DCTD	NA
AFAP1	AFAP1	NA
SYNE1	SYNE1	NA
VPS18	VPS18	NA
ATXN1	SREBF1	0.1227296946
TIFA	TIFA	NA
COL25A1	COL25A1	NA
CNDP2	CNDP2	NA
CREB5	CREB5	NA
EMID1	EMID1	NA
LRRC4	LRRC4	NA
SSNA1	SSNA1	NA
VPS39	VPS39	NA
ZHX3	ZHX3	NA
ZNF197	ZNF197	NA
ATXN1	C2orf3	0.8695121951
TRPM7	TRPM7	NA
ZBTB7A	ZBTB7A	NA
DZIP3	DZIP3	NA
C1QTNF5	C1QTNF5	NA
EIF2AK1	EIF2AK1	NA
PRPF6	PRPF6	NA
ATXN1	TRAF2	1
ANGPTL7	ANGPTL7	NA
E2F7	E2F7	NA
MTUS1	MTUS1	NA
TESC	TESC	NA
TXNDC2	TXNDC2	NA
TPM2	TPM2	NA
GPX2	GPX2	NA
IGHD	IGHD	NA
KIT	CLTC	0.0003170727
NT5C	NT5C	NA
PLXNA1	PLXNA1	NA
C19orf2	C19orf2	NA
SYT13	SYT13	NA
VPS16	VPS16	NA
ACY3	ACY3	NA
ADSSL1	ADSSL1	NA
BLOC1S3	BLOC1S3	NA
ATXN1	TRIP6	1
EBPL	EBPL	NA
ELTD1	ELTD1	NA
GMPPA	GMPPA	NA
KLHL20	KLHL20	NA
LRIT1	LRIT1	NA
OXCT2	OXCT2	NA
PYCRL	PYCRL	NA
ATXN1	UBE2I	5.44625730089325E-007
SCARF2	SCARF2	NA
UPK1A	UPK1A	NA
P2RX2	P2RX2	NA
PPP1R9A	PPP1R9A	NA
PLAGL1	PLAGL1	NA
ENTPD5	ENTPD5	NA
EXOSC4	EXOSC4	NA
HAVCR2	HAVCR2	NA
NADSYN1	NADSYN1	NA
ATXN1	VSNL1	0.9997980385
TICAM2	TICAM2	NA
PTH2	PTH2	NA
TRAM2	TRAM2	NA
BHLHA15	BHLHA15	NA
ZHX2	ZHX2	NA
PDXP	PDXP	NA
VWA2	VWA2	NA
DNTTIP1	DNTTIP1	NA
DTX2	DTX2	NA
MYLK	ACTC1	0.1867202977
GC	ACTA1	0.8802239833
VCL	CLTC	0.1492249712
DTX3	DTX3	NA
DTX3L	DTX3L	NA
FEM1B	FEM1B	NA
CCDC91	CCDC91	NA
NADK	NADK	NA
MKI67IP	MKI67IP	NA
MOAP1	MOAP1	NA
MUC20	MUC20	NA
NLK	NLK	NA
PCBD2	PCBD2	NA
ATXN1	ZYX	0.9999998481
RPP14	RPP14	NA
TPPP	TPPP	NA
ASCL3	ASCL3	NA
EPCAM	CLDN7	0.6775328838
CHEK1	MDM4	0.9999999968
CHEK2	MDM4	0.9999999968
ARR3	CLTC	0.2599334597
AKT1	MDM4	0.3108821866
SSBP1	LDB1	0.9829760077
ATM	MDM4	0.9999999968
MAP2K3	DYRK1B	0.9617022228
MAPK1	SLC9A1	0.2180832817
MAP3K10	CLTC	0.9905472135
P2RY2	KDR	0.9972811912
GCDH	GCDH	NA
P2RY2	SRC	0.9972811912
CDX1	LEF1	0.7718235651
MAPK1	GRB10	0.027232433
EPHA3	ADAM10	0.9961089504
WNT7A	FZD9	0.996668175
MFAP5	FBN2	0.9934880716
AP1B1	CLTC	0.8824922775
MFAP5	MEGF6	0.8297275079
SIGLEC1	MUC1	0.8725121593
HNRNPA1	PABPN1	0.7991485323
PDPK1	ILK	0.858408761
PCCB	PCCB	NA
ANK3	PIK3R1	0.257839961
PCCB	PCCA	NA
ANK3	HOOK1	0.6079518235
AMPH	CLTC	0.2813777985
PROX1	NR5A2	0.9997398741
AGL	PRKAB1	0.9986345535
ABLIM1	ACTG1	0.764523938
CDK1	RCC1	0.9856159017
ABCC2	PDZD3	0.9999909784
ATXN1	BAT2	1
DFFA	CASP7	0.5960844013
DEFA5	PRSS1	0.878536544
EFEMP1	TIMP3	0.6716917651
CNTNAP1	SRC	0.9747324531
NCF2	S100A8	0.0716488336
CNTNAP1	FYN	0.9747324531
HIP1	CLTC	0.2599334597
GRM8	PIAS2	0.6165699518
TCEB3	MED21	0.1454462045
CAMLG	PKHD1	0.6775328838
PRCC	MAD2L2	0.7590739841
PRCC	SFRS2	0.7560483826
AKT1	EZH2	0.0011774505
NDN	HIF1A	0.0097946206
LPL	LPL	NA
DFFB	DFFB	NA
ATXN1	FAT4	0.8695121951
RELN	RELN	NA
LPL	CALR	0.360673499
CLIP1	MTOR	0.8200160553
ANXA7	PDCD6	0.8808969686
FXYD1	DMPK	0.9495472589
MAPK14	EEA1	0.9999128126
CLPP	CLPP	NA
GAK	CLTC	0.9541439689
MAPK14	ZFYVE20	0.9945649469
RPE65	RBP4	0.9085590203
CCL16	HRH4	0.1310714071
GATM	GATM	NA
EZH2	SUZ12	0.9980450613
SRC	CDH5	0.9999999952
ITPKA	ACTA1	0.9747324531
AP3B2	CLTC	0.9503258829
PTPRS	PTPRE	0.2469888105
PTPRS	PTPRM	0.2840648525
PXN	CLTC	0.0003170727
CASP1	AR	0.9999999931
CASP1	ATN1	0.3009362085
PTPRS	KAT5	0.0023515018
NPTX1	RCN2	0.9662418317
DOCK1	RAC1	0.999821217
DOCK1	ELMO1	0.9626791172
LRP2	LCN2	0.3635927694
SLC6A2	PPP2R1A	0.7718236399
CACNA1A	GNB1	0.3753449466
CCNG1	PPP2CA	0.7684347741
ATXN1	CPSF7	0.9969886534
CDK2	SMAD3	6.82068019196885E-005
CDK4	SMAD3	1
SLC6A2	STX1A	0.4626152691
MAPK1	GAB1	0.0002902449
MAPK3	GAB1	0.0002902449
DNM2	PTK2	1
DNM2	SNX9	0.9994717917
OAZ1	OAZ3	0.982691331
NHLH2	LMO3	0.9557723577
ATXN1	MYST3	0.4970049604
DAPK3	CDKN1A	0.9620597462
MTRR	MMAB	NA
OXTR	OXTR	NA
GRIN2D	CLTC	0.2721881127
ANXA11	ALG2	0.9988229098
RAPSN	CHRNB1	0.6026602179
TJP1	ARVCF	0.2823323082
TJP1	TRPC4	0.6746719032
PTPRD	PTPRE	0.9180510247
PTPRD	PTPRF	0.9196520713
ATXN1	RHOXF2	1
GSS	GSS	NA
PIGF	PIGG	NA
TNXB	VEGFB	0.9476984118
TNXB	VEGFA	0.9500655041
ANXA7	PRKCA	0.9747324531
ANXA7	PRKCB	0.9747324531
ANXA7	PRKCG	0.6216025854
PTPRU	GNAO1	0.6017232445
CD6	SDCBP	0.9888434945
AP3B1	CLTC	0.4900677377
CD6	ALCAM	0.9394669619
TLR1	TLR5	0.9996721183
TLR1	TLR9	0.9670290155
PRDM2	HIST3H3	0.9672875826
RAD51C	RAD51L3	0.9999661946
TLX1	PPP2CA	0.9966550018
ATXN1	KLF11	0.5715998572
MEFV	PSTPIP1	0.9929919883
SQSTM1	KCNAB2	0.4597637219
DGKZ	SRC	0.9999697867
SQSTM1	GABRR2	0.5233388615
TLX1	PPP1CB	0.7658643612
TLX1	PKNOX1	0.9963141828
TLX1	MEIS1	0.9966550018
TUB	GNAQ	0.0311397744
AP1G1	CLTC	1
TLX1	TLX1	NA
TLX1	NFIC	0.9966438663
CD3D	AP2M1	0.6360923129
SQSTM1	GABRR1	0.2738579039
SMARCB1	PPP1CC	0.6527772135
RLBP1	SLC9A3R1	0.9500663828
ATXN1	BAT2L1	0.5715998572
MMRN1	F5	0.8785363662
ARID4A	SIN3A	0.9989304528
BCL9	CTNNB1	0.9982090601
F2RL3	F2RL2	0.9851785981
ABL1	WASL	0.9999999996
MYL1	ACTA1	0.8725121593
RXRB	TACC2	0.999295654
PSMC3	CDKN2A	0.1629693699
PKD1	JAK2	0.999961757
NVL	RPL5	0.8966083875
E4F1	RASSF1	0.841510359
PTK2B	ERBB3	1
ATXN1	ZC3H10	0.9829760077
UCN	LEP	0.4066827543
PTK2B	FGFR3	1
RDH5	RDH5	NA
RNASEL	AR	0.8977099342
TOM1	CLTC	0.7283594469
HSF4	HSF4	NA
ANK1	CD44	0.9950018426
TLR2	SFTPA1	0.1764320163
ANK1	ITPR3	0.5901322191
TLR2	HMGB1	0.0091734401
PRKCD	SDC4	0.9998205466
COLQ	MUSK	0.8703374866
ATXN1	C1orf94	0.9997980385
AKT1	CCDC88A	0.6801626016
SIM2	PARK2	0.6029959266
FKBP3	CSNK2A1	0.9989304528
FKBP3	CSNK2A2	0.9989304528
FKBP3	CSNK2B	0.9989304528
PYY	NPY1R	0.9960044464
ATXN1	KCNAB2	0.9673096608
PYY	NPY5R	0.9986345021
BUB1	CDC20	0.4405911956
GPAA1	PIGU	0.9615162319
AKT1	SH2B2	0.0006587118
PCP4	CALM1	0.6801626016
LDLRAP1	CLTC	0.6216025854
TRAF4	MAP3K4	0.2702260311
STIL	PIN1	0.6801626016
TCEB2	ASB8	0.7761209951
TCEB2	ASB2	0.6026774404
HMMR	CD44	0.2823323082
PSMD4	UBC	0.710504957
PTX3	FGF2	0.145548721
HMMR	TPX2	0.37458815
TNK2	CLTC	0.1892962071
TXN	GFER	0.8260145422
TXN	COPS5	0.8261449299
ZFP161	ZNF295	0.9184617638
EYA1	SIX2	0.9934879619
PTK7	PTK7	NA
EPN1	CLTC	0.3569167418
DNMT3B	SMARCA5	0.9999992175
DNMT3B	SUV39H1	0.9999995823
DNMT3B	HDAC2	0.9999995824
TBXA2R	RAB11A	0.3258533107
CFH	THBS1	0.9999999491
NFATC2	FOXP3	0.7585338029
MYO9B	ARFGEF1	0.2547743567
CHD4	SMARCA4	0.9252076551
TBXA2R	NME2	0.3517256883
EPN2	CLTC	0.9057666556
THY1	ITGAV	0.5233388615
THY1	ITGB3	0.9897649452
CHAF1A	TRIM28	0.9995389111
CHD4	HDAC1	0.9252076551
OASL	MBD1	0.7718234826
MAPK6	XPO1	0.6780702236
ZNF148	STAT3	0.318954771
CLINT1	CLTC	0.9995552605
LEPR	LEPR	NA
ANGPT1	ITGA5	0.9888434944
IRF4	MYD88	0.9969886534
CDK1	TK1	0.9943733743
NOS2	RAC2	0.4039101684
PRKACA	CLDN3	0.9999737324
NEO1	NTN3	0.7745957182
CD1B	PSAP	0.771819376
CTTN	ACTA1	1
ATXN1	TCAP	0.9927040519
